JUSTICE,PHRASE,AT_WINNER_COUNT,AT_LOSER_COUNT,AT_WINNER_PERCENT,AT_LOSER_PERCENT,SGD_LOG_SCORE,NB_LOG_SCORE,RF_IMP_SCORE
ROBERTS,thank you counsel,0,0,,,,-4.502652764612935,0.017941748400393934
ROBERTS,thank you mr,0,0,,,,-5.630952035857481,0.004577250565559468
ROBERTS,in other words,11,9,0.55,0.44999999999999996,,-5.806212612477826,0.003989390216166976
ROBERTS,with respect to,37,34,0.5211267605633803,0.47887323943661975,,-5.864772725681193,0.0027342317937299053
ROBERTS,going to be,50,42,0.5434782608695652,0.4565217391304348,,-5.954427215342184,0.0027142168047464567
ROBERTS,seems to me,58,55,0.5132743362831859,0.48672566371681414,-0.3596082222264567,-5.9734773946125,0.0028674344745826365
ROBERTS,it seems to,31,35,0.4696969696969697,0.5303030303030303,-0.47945855920712066,-6.114355686367319,0.004313767962083467
ROBERTS,you have to,37,34,0.5211267605633803,0.47887323943661975,,-6.126123101596351,0.002772659969488679
ROBERTS,the district court,19,10,0.6551724137931034,0.3448275862068966,,-6.1660370361951395,0.0042890124992870675
ROBERTS,are going to,36,18,0.6666666666666666,0.33333333333333337,0.7142089739557335,-6.167949328007481,0.0023525136726614284
ROBERTS,is going to,31,32,0.49206349206349204,0.5079365079365079,-0.41163519129344617,-6.263918172432442,0.001834693471381581
ROBERTS,not going to,35,25,0.5833333333333334,0.41666666666666663,,-6.2725722926357275,0.0014968151677276515
ROBERTS,that would be,23,15,0.6052631578947368,0.39473684210526316,,-6.276714067551466,0.002134937848014329
ROBERTS,your answer to,14,8,0.6363636363636364,0.36363636363636365,0.37589327570460385,-6.294352308609237,0.0017000752472081072
ROBERTS,why dont you,2,5,0.2857142857142857,0.7142857142857143,0.5442487412025862,-6.3139005442645555,0.002102342919924765
ROBERTS,you dont have,16,15,0.5161290322580645,0.4838709677419355,,-6.328982540914638,0.0016333251507938407
ROBERTS,it would be,23,13,0.6388888888888888,0.36111111111111116,0.5046217929807386,-6.342148353534485,
ROBERTS,do you have,8,7,0.5333333333333333,0.4666666666666667,,-6.358907283634659,0.0036304688606561995
ROBERTS,the case is,11,1,0.9166666666666666,0.08333333333333337,,-6.359945567464843,0.0028160585395128317
ROBERTS,answer to justice,0,0,,,0.3398451525024865,-6.3686625826224645,0.001376175891162343
ROBERTS,the fact that,30,15,0.6666666666666666,0.33333333333333337,,-6.382080655128669,0.001456646229155526
ROBERTS,on behalf of,6,0,1.0,0.0,0.6241926726726583,-6.384704510206657,
ROBERTS,would have thought,20,10,0.6666666666666666,0.33333333333333337,0.32763678791245865,-6.387147610140225,
ROBERTS,the other side,23,14,0.6216216216216216,0.3783783783783784,,-6.397016119407663,
ROBERTS,im not sure,0,0,,,,-6.397301281413842,0.0018910113684679523
ROBERTS,you can finish,0,0,,,0.7068032184290649,-6.4200557700191485,
ROBERTS,do you think,11,3,0.7857142857142857,0.2142857142857143,0.4817894172675134,-6.424105121599506,0.001143495169935045
ROBERTS,youve got to,16,10,0.6153846153846154,0.3846153846153846,0.3392209793317035,-6.431715701058007,0.0013893378783826538
ROBERTS,in that case,19,16,0.5428571428571428,0.4571428571428572,0.3779938569197863,-6.4328229438649664,
ROBERTS,to me that,32,25,0.5614035087719298,0.4385964912280702,,-6.438768192014614,
ROBERTS,on the other,18,15,0.5454545454545454,0.4545454545454546,,-6.453865986330115,
ROBERTS,in this case,28,31,0.4745762711864407,0.5254237288135593,-0.7922004008835808,-6.460592531828738,0.003060979582021502
ROBERTS,one of the,35,24,0.5932203389830508,0.4067796610169492,,-6.4682590652618375,0.0013738642170042109
ROBERTS,were talking about,12,3,0.8,0.19999999999999996,0.7679183605223073,-6.469131796656699,
ROBERTS,what if the,8,5,0.6153846153846154,0.3846153846153846,0.43657097890200514,-6.4711350563928836,
ROBERTS,dont have to,19,18,0.5135135135135135,0.4864864864864865,,-6.523273839005124,0.0014922364226224866
ROBERTS,can finish your,10,2,0.8333333333333334,0.16666666666666663,0.5418287979396016,-6.537647310523038,
ROBERTS,whether or not,24,23,0.5106382978723404,0.4893617021276596,-0.37483565039636635,-6.539822877726137,0.0016062396000015792
ROBERTS,finish your sentence,0,0,,,-0.6121610445114305,-6.562222728066237,0.008940543909292439
ROBERTS,respect to the,18,17,0.5142857142857142,0.48571428571428577,,-6.572737420451212,
ROBERTS,case is submitted,9,10,0.47368421052631576,0.5263157894736843,-0.31723798797367875,-6.577580200315161,0.001599062215092934
ROBERTS,going to say,15,13,0.5357142857142857,0.4642857142857143,,-6.5977806598465865,
ROBERTS,to say that,15,10,0.6,0.4,0.30443671535396905,-6.599922715582434,
ROBERTS,the court of,12,2,0.8571428571428571,0.1428571428571429,0.5387236199201784,-6.605622313597787,
ROBERTS,if you have,22,19,0.5365853658536586,0.46341463414634143,-0.4712682782010853,-6.619530214281717,0.0019824257094801173
ROBERTS,oral argument of,0,0,,,0.5533429372627864,-6.620048442430658,
ROBERTS,is that the,27,24,0.5294117647058824,0.47058823529411764,-0.33453219542335233,-6.621344430841394,0.0015484647867057347
ROBERTS,what about the,2,2,0.5,0.5,0.5036699263835913,-6.6331029223900355,
ROBERTS,behalf of the,3,0,1.0,0.0,0.5599125571220285,-6.656521201506562,0.0012647585715309432
ROBERTS,were going to,19,21,0.475,0.525,-0.47232286806264284,-6.664593223627591,0.0020717444250812475
ROBERTS,court of appeals,8,4,0.6666666666666666,0.33333333333333337,,-6.665507999476715,
ROBERTS,you know the,20,14,0.5882352941176471,0.4117647058823529,,-6.680119089021074,0.0011661290912061359
ROBERTS,its going to,16,10,0.6153846153846154,0.3846153846153846,,-6.699867254904772,
ROBERTS,cause of action,8,5,0.6153846153846154,0.3846153846153846,,-6.719106670267349,0.0012109139610120918
ROBERTS,to look at,15,12,0.5555555555555556,0.4444444444444444,,-6.72707711315648,
ROBERTS,what do you,5,2,0.7142857142857143,0.2857142857142857,0.47663509070148985,-6.728192586965797,
ROBERTS,as opposed to,13,14,0.48148148148148145,0.5185185185185186,,-6.737928907998164,
ROBERTS,is there any,9,2,0.8181818181818182,0.18181818181818177,0.5996075551113325,-6.738651838178842,
ROBERTS,because of the,16,3,0.8421052631578947,0.1578947368421053,0.6226533766576062,-6.753286361062706,
ROBERTS,dont want to,13,10,0.5652173913043478,0.4347826086956522,,-6.757125950050046,
ROBERTS,theyre going to,10,5,0.6666666666666666,0.33333333333333337,0.3864872882984585,-6.7579753611388265,
ROBERTS,what is the,9,8,0.5294117647058824,0.47058823529411764,-0.33458273370614433,-6.76890169287079,0.0021199508206279235
ROBERTS,counsel the case,0,0,,,-0.6121892744535835,-6.771788866712734,0.002764368972587024
ROBERTS,thank you general,0,0,,,0.7116627911429161,-6.774128939257032,
ROBERTS,there is no,12,10,0.5454545454545454,0.4545454545454546,,-6.775229178228967,0.0012513576744739795
ROBERTS,on the merits,12,3,0.8,0.19999999999999996,0.5324004396073273,-6.779101511435734,
ROBERTS,there would be,11,9,0.55,0.44999999999999996,,-6.785103367964007,
ROBERTS,be able to,15,17,0.46875,0.53125,,-6.785429376247304,0.0013592586915856175
ROBERTS,to do that,11,10,0.5238095238095238,0.47619047619047616,,-6.787170614596632,0.002461362369229564
ROBERTS,statute of limitations,7,4,0.6363636363636364,0.36363636363636365,0.3267237855816246,-6.797100970420627,
ROBERTS,the attorney general,1,0,1.0,0.0,0.6835495637369083,-6.8070006431445345,
ROBERTS,so you think,2,0,1.0,0.0,,-6.812167091101042,
ROBERTS,you think that,11,4,0.7333333333333333,0.2666666666666667,0.27418401678657495,-6.820763100119203,
ROBERTS,the other way,9,7,0.5625,0.4375,,-6.822330156558031,
ROBERTS,seem to me,13,7,0.65,0.35,0.3120216145043656,-6.824724940124031,
ROBERTS,the ninth circuit,0,0,,,0.7964615295828642,-6.826380690920612,
ROBERTS,how do you,5,4,0.5555555555555556,0.4444444444444444,0.31733326127634676,-6.83383186333228,
ROBERTS,if you dont,8,8,0.5,0.5,,-6.835585574731487,
ROBERTS,the point is,11,3,0.7857142857142857,0.2142857142857143,0.5661267358375642,-6.839486523995526,
ROBERTS,the united states,0,0,,,-0.3766968378731187,-6.839576199586373,0.003939950488006563
ROBERTS,the sort of,8,5,0.6153846153846154,0.3846153846153846,0.45118300383837173,-6.841927297919437,
ROBERTS,do you do,11,2,0.8461538461538461,0.15384615384615385,0.5704740705455442,-6.846893881201102,
ROBERTS,be subject to,9,3,0.75,0.25,0.43352235892209684,-6.867094682357305,
ROBERTS,you have an,18,14,0.5625,0.4375,0.2776322778543512,-6.871123591881883,
ROBERTS,youre talking about,7,9,0.4375,0.5625,,-6.87417773901179,0.0015077059852525243
ROBERTS,youre going to,11,11,0.5,0.5,-0.34383759580622986,-6.8789100972391095,0.002428333559167688
ROBERTS,say that the,11,9,0.55,0.44999999999999996,0.33609702498654587,-6.878993400494339,
